sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	handling-time
9616VC	20,95	10,47	41,9	0		
9653VC	66	33	132	0		
9654VC	66	33	132	0		
9657VC	60,9	30,45	121,8	0		
9745VC	14,95	7,47	29,9	240		
9754VC	10,95	5,47	21,9	117		
9756VC	12,95	6,47	25,9	0		
9757VC	12,95	6,47	25,9	0		
9758VC	12,95	6,47	25,9	0		
9760VC	12,95	6,47	25,9	0		
9761VC	12,95	6,47	25,9	0		
9762VC	12,95	6,47	25,9	0		
9763VC	12,95	6,47	25,9	0		
9839VC	47,9	23,95	95,8	0		
9848VC	35,6	17,8	71,2	0		
9854VC	30,8	15,4	61,6	34		
9856VC	20,95	10,47	41,9	0		
9857VC	38,3	19,15	76,6	0		
9858VC	20,95	10,47	41,9	0		
9899VC	24,95	12,47	49,9	623		
9909VC	107,8	53,9	215,6	0		
9912VC	28,95	14,47	57,9	0		
9920VC	35,6	17,8	71,2	0		
9922VC	28,95	14,47	57,9	0		
9923VC	28,95	14,47	57,9	0		
9924VC	28,95	14,47	57,9	0		
9925VC	28,95	14,47	57,9	0		
9976VC	58,5	29,25	117	0		
9977VC	58,5	29,25	117	0		
9981VC	80,1	40,05	160,2	0		
9984VC	45,2	22,6	90,4	0		
9985VC	18,95	9,47	37,9	0		
9986VC	45,8	22,9	91,6	24390		
9988VC	45,8	22,9	91,6	275		
9990VC	45,8	22,9	91,6	17885		
9992VC	45,8	22,9	91,6	0		
9995VC	93	46,5	186	0		
9996VC	93	46,5	186	0		
9997VC	86,4	43,2	172,8	0		
10073VC	52,5	26,25	105	0		
10074VC	25,95	12,97	51,9	0		
10079VC	102,9	51,45	205,8	0		
10080VC	203,8	101,9	407,6	0		
10086VC	37,2	18,6	74,4	0		
10087VC	109,8	54,9	219,6	0		
10144VC	80,1	40,05	160,2	0		
10145VC	79,5	39,75	159	10		
10146VC	19,95	9,97	39,9	390		
10161VC	132,7	66,35	265,4	0		
10162VC	8,95	4,47	17,9	184		
10163VC	10,95	5,47	21,9	0		
10164VC	34,5	17,25	69	45		
10166VC	131,2	65,6	262,4	0		
10167VC	197,1	98,55	394,2	0		
10176VC	17,95	8,97	35,9	0		
10178VC	12,95	6,47	25,9	0		
10181VC	15,95	7,97	31,9	0		
10186VC	8,95	4,47	17,9	570		
10187VC	8,95	4,47	17,9	508		
10188VC	8,95	4,47	17,9	1336		
10193VC	15,95	7,97	31,9	0		
10194VC	12,95	6,47	25,9	0		
10195VC	10,95	5,47	21,9	103		
10199VC	9,95	4,97	19,9	249		
10201VC	39,5	19,75	79	737993		
10202VC	77	38,5	154	0		
10203VC	64,5	32,25	129	0		
10204VC	85,8	42,9	171,6	136		
10206VC	108,4	54,2	216,8	0		
10207VC	108,4	54,2	216,8	0		
10209VC	10,95	5,47	21,9	38		
10210VC	10,95	5,47	21,9	0		
10211VC	15,95	7,97	31,9	0		
10212VC	10,95	5,47	21,9	14		
10213VC	15,95	7,97	31,9	0		
10215VC	15,95	7,97	31,9	0		
10218VC	15,95	7,97	31,9	0		
10223VC	11,95	5,97	23,9	0		
10225VC	16,95	8,47	33,9	0		
10226VC	11,95	5,97	23,9	0		
10227VC	16,95	8,47	33,9	0		
10228VC	11,95	5,97	23,9	394		
10229VC	11,95	5,97	23,9	0		
10230VC	12,95	6,47	25,9	0		
10232VC	15,95	7,97	31,9	0		
10236VC	11,95	5,97	23,9	161		
10239VC	16,95	8,47	33,9	0		
10242VC	11,95	5,97	23,9	210		
10243VC	11,95	5,97	23,9	43		
10244VC	16,95	8,47	33,9	0		
10245VC	11,95	5,97	23,9	163		
10246VC	11,95	5,97	23,9	136		
10247VC	11,95	5,97	23,9	206		
10248VC	16,95	8,47	33,9	0		
10249VC	16,95	8,47	33,9	0		
10250VC	16,95	8,47	33,9	0		
10256VC	16,95	8,47	33,9	0		
10257VC	37	18,5	74	717		
10258VC	35,6	17,8	71,2	0		
10259VC	38,3	19,15	76,6	15		
10260VC	17,95	8,97	35,9	0		
10262VC	16,95	8,47	33,9	0		
10263VC	20,95	10,47	41,9	0		
10265VC	18,95	9,47	37,9	45		
10267VC	20,95	10,47	41,9	0		
10270VC	16,95	8,47	33,9	0		
10272VC	10,95	5,47	21,9	378		
10274VC	11,95	5,97	23,9	0		
10275VC	11,95	5,97	23,9	0		
10276VC	95,8	47,9	191,6	95		
10277VC	95,8	47,9	191,6	0		
10278VC	73,9	36,95	147,8	17970		
10279VC	95,8	47,9	191,6	1235		
10280VC	11,95	5,97	23,9	3498		
10281VC	12,95	6,47	25,9	399		
10282VC	13,95	6,97	27,9	0		
10294VC	54,5	27,25	109	0		
10295VC	54,5	27,25	109	0		
10296VC	54,5	27,25	109	0		
10297VC	54,5	27,25	109	0		
10298VC	54,5	27,25	109	0		
10299VC	54,5	27,25	109	0		
10323VC	31,95	15,97	63,9	61311		
10326VC	41,1	20,55	82,2	135985		
10338VC	10,95	5,47	21,9	303975		
10339VC	17,95	8,97	35,9	0		
10340VC	13,95	6,97	27,9	0		
10341VC	8,95	4,47	17,9	33		
10342VC	13,95	6,97	27,9	0		
10345VC	39,5	19,75	79	27		
10346VC	59,1	29,55	118,2	0		
10355VC	113,3	56,65	226,6	23		
10356VC	132,5	66,25	265	37		
10370VC	177	88,5	354	0		
10373VC	264,3	132,15	528,6	0		
10374VC	264,3	132,15	528,6	0		
10424VC	174,3	87,15	348,6	0		
10430VC	292,4	146,2	584,8	0		
10431VC	298	149	596	0		
10432VC	136,6	68,3	273,2	0		
10433VC	163,4	81,7	326,8	0		
10480VC	100,3	50,15	200,6	0		
10481VC	31,95	15,97	63,9	0		
10482VC	19,95	9,97	39,9	89		
10484VC	47	23,5	94	76		
10485VC	20,95	10,47	41,9	0		
10486VC	44,5	22,25	89	11		
10487VC	132,7	66,35	265,4	0		
10488VC	80,1	40,05	160,2	0		
10535VC	9,95	4,97	19,9	6179		
10538VC	13,95	6,97	27,9	0		
10539VC	13,95	6,97	27,9	0		
10540VC	13,95	6,97	27,9	0		
10552VC	20,95	10,47	41,9	134		
10582VC	33,1	16,55	66,2	0		
10583VC	33,1	16,55	66,2	0		
10584VC	33,1	16,55	66,2	0		
10586VC	304,6	152,3	609,2	0		
10589VC	20,95	10,47	41,9	0		
10590VC	20,95	10,47	41,9	0		
10592VC	12,95	6,47	25,9	0		
10601VC	69,3	34,65	138,6	0		
10602VC	72,3	36,15	144,6	0		
10604VC	45,8	22,9	91,6	26		
10605VC	37,2	18,6	74,4	0		
10610VC	133,8	66,9	267,6	0		
10611VC	102,9	51,45	205,8	0		
10615VC	12,95	6,47	25,9	312		
10616VC	12,95	6,47	25,9	0		
10617VC	15,95	7,97	31,9	0		
10618VC	12,95	6,47	25,9	241		
10619VC	12,95	6,47	25,9	325		
10620VC	12,95	6,47	25,9	12		
10621VC	17,95	8,97	35,9	0		
10622VC	12,95	6,47	25,9	75		
10623VC	14,95	7,47	29,9	40		
10624VC	12,95	6,47	25,9	344		
10625VC	12,95	6,47	25,9	140		
10626VC	9,95	4,97	19,9	11		
10627VC	12,95	6,47	25,9	402		
10628VC	12,95	6,47	25,9	538		
10629VC	12,95	6,47	25,9	462		
10630VC	12,95	6,47	25,9	625		
10631VC	12,95	6,47	25,9	433		
10632VC	12,95	6,47	25,9	253		
10633VC	12,95	6,47	25,9	390		
10634VC	12,95	6,47	25,9	400		
10635VC	12,95	6,47	25,9	366		
10636VC	12,95	6,47	25,9	262		
10638VC	12,95	6,47	25,9	0		
10639VC	15,95	7,97	31,9	0		
10640VC	10,95	5,47	21,9	79		
10641VC	10,95	5,47	21,9	140		
10642VC	10,95	5,47	21,9	278		
10643VC	16,95	8,47	33,9	0		
3668RGVC	5,95	2,98	11,9	0		
5484RGVC	14,95	7,47	29,9	0		
1969RGVC	9,95	4,97	19,9	0		
2007RGVC	11,95	5,97	23,9	0		
2471RGVC	655,9	327,95	1311,8	0		
3136RGVC	14,95	7,47	29,9	224		
3502RGVC	8,95	4,47	17,9	0		
4116RGVC	8,95	4,47	17,9	0		
4150RGVC	64,6	32,3	129,2	0		
4762RGVC	37,9	18,95	75,8	0		
5481RGVC	12,95	6,47	25,9	0		
1162RGVC	9,95	4,97	19,9	0		
1166RGVC	9,95	4,97	19,9	0		
1705RGVC	8,95	4,47	17,9	0		
1968RGVC	8,95	4,47	17,9	1248		
2006RGVC	11,95	5,97	23,9	0		
4102RGVC	11,95	5,97	23,9	1373		
4152RGVC	98,5	49,25	197	717		
5480RGVC	14,95	7,47	29,9	0		
10174RGSG	48,3	24,15	96,6	0		
12784RGSG	40,8	20,4	81,6	0		
12793RGSG	44,9	22,45	89,8	0		
17846RGSG	106,9	53,45	213,8	9		
18855RGSG	71,9	35,95	143,8	13		
62157RGSG	28,5	14,25	57	389		
62177RGSG	47,7	23,85	95,4	177		
62217RGSG	56,4	28,2	112,8	166		
14460VC	18,95	9,47	37,9	166		
14434VC	18,95	9,47	37,9	28		
14430VC	18,95	9,47	37,9	40		
14432VC	18,95	9,47	37,9	195		
14445VC	18,95	9,47	37,9	9		
14448VC	18,95	9,47	37,9	49		
14449VC	18,95	9,47	37,9	46		
14435VC	18,95	9,47	37,9	6		
14453VC	18,95	9,47	37,9	42		
14429VC	18,95	9,47	37,9	78		
14436VC	18,95	9,47	37,9	136		
14427VC	18,95	9,47	37,9	55		
14452VC	18,95	9,47	37,9	77		
14461VC	18,95	9,47	37,9	97		
14455VC	18,95	9,47	37,9	50		
14431VC	18,95	9,47	37,9	109		
14441VC	18,95	9,47	37,9	6		
14462VC	18,95	9,47	37,9	63		
14479VC	18,95	9,47	37,9	52		
14725VC	18,95	9,47	37,9	66		
14446VC	18,95	9,47	37,9	56		
