ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DV3WKB7R,B0BHF4ZX5H,ROCKING GIFTS Bandeja vaciabolsillos Cuadrada PANOT Gris Cemento 15 cm,288448CLM,"1,320",34,0.69%,0.74%,"1,682",39,0.63%,0.62%,98.91%,96.43%,26,1,1.97%,2.94%,"429,61 €","16,86 €",24,1
B0CK91KWFP,B0CC3W385Q,"ROCKING GIFTS Adorno de Pared Lagarto, Azul, Metal, 39x19 cm, decoración terraza, Jardin",30199SGFBA,798,16,0.42%,0.35%,"1,056",20,0.40%,0.32%,99.79%,100.00%,24,0,3.01%,0.00%,"524,18 €","0,00 €",24,0
B0CK9N9NC9,B0BHF7LWJ4,"Revistero de Polipiel Plegable Marrón - Cesta con Asas de Cuero Sintético para Almacenaje de Revistas, Periódicos, Libros y Documentos en Salón, Sofá u Oficina - Organizador Funcional para Hogar",22212803CLMFBA,472,7,0.25%,0.15%,725,13,0.27%,0.21%,97.10%,100.00%,24,1,5.08%,14.29%,"479,69 €","19,59 €",23,1
B0FL83L5ZX,B0F1TG9GCH,ROCKING GIFTS Felpudo 40x70 EUSKERA Antideslizante Entrada Exterior Interior Casa Hogar Resistente,2857147CLMFBA,369,4,0.19%,0.09%,535,4,0.20%,0.06%,99.80%,100.00%,24,0,6.50%,0.00%,"595,98 €","0,00 €",23,0
B08WRFR769,B08WRFR769,Vidal Regalos Marco de Fotos 15 x 20 cm Portafotos Metalico Plateado 20 cm,2597374CLMFBA,271,11,0.14%,0.24%,401,17,0.15%,0.27%,98.88%,100.00%,23,3,8.49%,27.27%,"302,02 €","38,22 €",21,3
B0DJ5YD8NS,B0F1TB6PBT,ROCKING GIFTS ESTROPAJERO Shades of Flora Ceramica 14 cm,2546137CLMFBA,268,1,0.14%,0.02%,382,2,0.14%,0.03%,99.72%,0.00%,22,0,8.21%,0.00%,"294,80 €","0,00 €",21,0
B0DJ5YD8NS,B0BHF5418W,ROCKING GIFTS Estropajero Doble Arena con estropajos,2684315CLMFBA,473,9,0.25%,0.20%,635,11,0.24%,0.18%,100.00%,100.00%,20,1,4.23%,11.11%,"388,61 €","19,06 €",20,1
B0GN3L87WG,B010TN825W,"ROCKING GIFTS Jabon de Selenita Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1326VCFBA,456,5,0.24%,0.11%,647,11,0.24%,0.18%,98.84%,100.00%,21,0,4.61%,0.00%,"229,95 €","0,00 €",19,0
B089DKYTMM,B089DKYTMM,"ROCKING GIFTS Vaciabolsillos de Madera 16 cm – Diseño Árbol de la Vida | Bandeja Decorativa para Llaves, Monedas y Joyas | Plato Organizador Hecho a Mano en Madera Natural",22731SGFBA,315,5,0.16%,0.11%,473,10,0.18%,0.16%,100.00%,100.00%,19,0,6.03%,0.00%,"291,65 €","0,00 €",19,0
B0DJTGX33L,B00Y3H7CMU,"ROCKING GIFTS Adorno de Pared x2 Lagartos, Metal, 22 cm, decoración de Pared, jardín al Aire Libre, Figura de Lagartos, decoración de Metal, Colgante, para Patio o Valla, Terraza, Exterior",43027SGFBA,887,14,0.46%,0.30%,"1,233",19,0.46%,0.30%,100.00%,100.00%,18,1,2.03%,7.14%,"566,37 €","30,87 €",18,1
