ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DNY5S4HH,B0F1TXW4KS,"Piñata Coche Carreras Rojo 56cm Fiesta Cumpleaños Niños, Cintas para Tirar",290915CLM,180,4,0.09%,0.09%,239,4,0.09%,0.06%,98.08%,0.00%,5,0,2.78%,0.00%,"127,00 €","0,00 €",5,0
B0BX7BP34Z,B0FX31L2JC,"ROCKING GIFTS Termómetro Galileo 18-26 Grados, 5 Bolas, Decorativo, Científico, Temperatura, Interior, Hogar",42772MD,87,0,0.05%,0.00%,137,0,0.05%,0.00%,99.21%,0.00%,5,0,5.75%,0.00%,"126,59 €","0,00 €",5,0
B0G1J779VR,B0G1J779VR,ROCKING GIFTS Bolsa de Papel Grande para Embalaje Fácil de Regalos de Sant Jordi con Etiqueta para Nombre 26x10x32 cm,2185800CLM,100,4,0.05%,0.09%,135,4,0.05%,0.06%,99.19%,100.00%,6,0,6.00%,0.00%,"52,35 €","0,00 €",5,0
B0GFDSN2Z4,B0GFDSN2Z4,"ROCKING GIFTS Piñata Plegable Comunión Papel, Piñata Fiesta Comunión, Decoración De Papel 49x40 cm, para Celebraciones",3097101CLM,97,2,0.05%,0.04%,150,2,0.06%,0.03%,96.95%,100.00%,5,0,5.15%,0.00%,"69,50 €","0,00 €",5,0
B0GFDXWP7H,B0GFDXWP7H,"MUG 400ML Figura Mono Cerámica 14.90x10.40x8.30 cm: Taza Decorativa para Café y Té, Ideal para Regalo Original y Divertido",312008CLM,55,2,0.03%,0.04%,81,3,0.03%,0.05%,100.00%,0.00%,5,0,9.09%,0.00%,"100,83 €","0,00 €",5,0
B0GLZMWCC6,B0GLZMWCC6,ROCKING GIFTS Colgante Turmalina Negra Bruto Protección Meditación Chakra Raíz Energía Curativa 1-2.5 Cm Piedra Natural contra Radiación,18026VCFBA,72,3,0.04%,0.07%,96,3,0.04%,0.05%,100.00%,100.00%,5,0,6.94%,0.00%,"54,95 €","0,00 €",5,0
B005JTK40I,B005JTK40I,"ROCKING GIFTS Esfera armilar, 21 cm",79067SGFBA,207,9,0.11%,0.20%,313,12,0.12%,0.19%,94.74%,100.00%,4,0,1.93%,0.00%,"288,00 €","0,00 €",4,0
B00KAIYQCK,B00KAIYQCK,"Pendulo Metalico Espiral Dorado Grande Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1666VCFBA,57,1,0.03%,0.02%,83,1,0.03%,0.02%,98.59%,100.00%,4,0,7.02%,0.00%,"43,60 €","0,00 €",4,0
B00KAIZHL4,B00KAIZHL4,"Pendulo Cuarzo Rosa Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",347VCFBA,167,5,0.09%,0.11%,232,8,0.09%,0.13%,44.17%,66.67%,4,0,2.40%,0.00%,"39,96 €","0,00 €",4,0
B010TN8VPI,B010TN8VPI,"Llavero Cuarzo Amatista en Bruto Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",668VC,55,0,0.03%,0.00%,74,0,0.03%,0.00%,100.00%,0.00%,5,0,9.09%,0.00%,"36,85 €","0,00 €",4,0
B0BWRPQV8Y,B010TNDPB8,"ROCKING GIFTS Shungit en Bruto Pequeños (Pack de 1 kg), Piedras de Shungita, Sungita, Shungite Original para Purificacion de Agua",1882VC,83,2,0.04%,0.04%,117,2,0.04%,0.03%,95.24%,100.00%,4,0,4.82%,0.00%,"64,60 €","0,00 €",4,0
B0DJTGX33L,B01BD4Z3C6,"ROCKING GIFTS Adorno de Pared x2 Lagartos, Metal, 30 cm, decoración de Pared, jardín al Aire Libre, Figura de Lagartos, decoración de Metal, Colgante, para Patio o Valla, Sala de Estar, baño",43037SGFBA,131,3,0.07%,0.07%,177,4,0.07%,0.06%,100.00%,100.00%,4,0,3.05%,0.00%,"168,00 €","0,00 €",4,0
B0DKQKCBVP,B01D0MOY7Y,"ROCKING GIFTS Colgante Cuarzo Transparente en Espiral, Piedra Natural Cristalino para Meditación, Energía Positiva, Protección, Sanación, Equilibrio y Armonía, Amuleto para Limpieza Energética",3219VC,324,5,0.17%,0.11%,456,6,0.17%,0.10%,100.00%,100.00%,4,0,1.23%,0.00%,"31,40 €","0,00 €",4,0
B01D0MQ0ZS,B01D0MQ0ZS,"Cubo de Shungit sin pulir 2 cm Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",3504VCFBA,55,0,0.03%,0.00%,77,0,0.03%,0.00%,98.39%,0.00%,5,2,9.09%,0.00%,"54,51 €","21,54 €",4,1
B01I5PDJMW,B01I5PDJMW,Mineral Import - Huevo Mediano de Obsidiana - 3536VC,3536VCFBA,63,1,0.03%,0.02%,82,1,0.03%,0.02%,98.70%,100.00%,4,0,6.35%,0.00%,"39,80 €","0,00 €",4,0
B076N67QSG,B076N67QSG,"Mineral Import Pendulo ISIS 4 Baterias Pequeño Bronce 100% con Testigo Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",4252VCFBA,29,0,0.02%,0.00%,54,0,0.02%,0.00%,100.00%,0.00%,4,0,13.79%,0.00%,"43,96 €","0,00 €",4,0
B07796PYPC,B07796PYPC,"ROCKING GIFTS Colgante rodado Shungit, Shungite Natural Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1886VCFBS,70,2,0.04%,0.04%,89,2,0.03%,0.03%,100.00%,100.00%,5,0,7.14%,0.00%,"59,95 €","0,00 €",4,0
B07NCW6S9W,B07NCW6S9W,Vidal Regalos Adorno Decorativo Pared Campana Laton 20 cm,5745SGFBA,29,2,0.02%,0.04%,42,2,0.02%,0.03%,100.00%,100.00%,4,2,13.79%,100.00%,"181,76 €","89,96 €",4,2
B0DHT539NY,B07XSD2J5Y,Azucarero de Cerámica Sugar Blanco con Tapa de Bambú - Recipiente para Azúcar de 8 cm con Cuchara Dosificadora - Diseño Original para Cocina,2776483CLMFBA,86,5,0.04%,0.11%,114,6,0.04%,0.10%,100.00%,100.00%,4,1,4.65%,20.00%,"59,50 €","14,65 €",4,1
B088J3VYP7,B088J3VYP7,"Pirita Chispa (Pack 500gr) Minerales y Cristales, Belleza Energética, Meditacion, Amuletos Espirituales",1528VC,101,3,0.05%,0.07%,124,3,0.05%,0.05%,94.44%,100.00%,4,0,3.96%,0.00%,"59,45 €","0,00 €",4,0
B08WR3DKHL,B08WR3DKHL,Cuadro Decorativo Madera Arbol de La Vida 40x25 cm,2182901CLMFBA,959,19,0.50%,0.41%,"1,257",20,0.47%,0.32%,99.45%,100.00%,4,0,0.42%,0.00%,"89,40 €","0,00 €",4,0
B08WR79HQ3,B08WR79HQ3,Dispensador de Jabon Efecto Marmol Blanco 16 cm,2293716CLM,83,4,0.04%,0.09%,119,4,0.04%,0.06%,99.05%,100.00%,5,0,6.02%,0.00%,"65,30 €","0,00 €",4,0
B0CLVWRS68,B08WRM13YL,"ROCKING GIFTS Tapa Contador Panot Barcelona 45 cm, Cuadro Cubre Cuadro Electrico, Caja de Luz, Madera, Horizontal",2182972CLMFBA,"1,202",46,0.63%,1.00%,"1,473",57,0.55%,0.91%,99.63%,100.00%,4,0,0.33%,0.00%,"180,00 €","0,00 €",4,0
B0CK91KWFP,B09X5KP6NC,"ROCKING GIFTS Adorno de Pared Lagarto, Metal, 22 cm, decoración de Pared, jardín al Aire Libre, Figura de Lagartos, Colgante, para Patio o Valla, Terraza, Exterior",27833SGFBA,298,3,0.16%,0.07%,343,4,0.13%,0.06%,100.00%,0.00%,4,0,1.34%,0.00%,"87,60 €","0,00 €",4,0
B09X875FZY,B09X875FZY,ROCKING GIFTS Mantel Mesa Antimanchas Panot Barcelona Gris Elegante Rústico Poliester 150x150 cm,30511769CLM,145,1,0.08%,0.02%,189,1,0.07%,0.02%,98.82%,100.00%,4,0,2.76%,0.00%,"67,30 €","0,00 €",4,0
B0FXVMZ7LV,B09X88TSZW,ROCKING GIFTS Organizador Tela Colgante Pared 10 Bolsillos Bolsa Almacenaje Puerta Armario 50 cm,2786184CLM,550,21,0.29%,0.46%,777,46,0.29%,0.73%,99.58%,100.00%,4,0,0.73%,0.00%,"57,15 €","0,00 €",4,0
B0CMMZ91RV,B09X8BQGGF,ROCKING GIFTS Figura Decorativa Busto Griego Romano Escultura Clásica Antigua Resina Efecto Piedra Elegante 36 cm,300745CLM,201,5,0.10%,0.11%,247,8,0.09%,0.13%,99.07%,100.00%,4,1,1.99%,20.00%,"257,33 €","62,33 €",4,1
B09X8JQDN3,B09X8JQDN3,Set 2 Sujetalibros Decorativo Busto Griego Romano Cabeza Mujer Resina Blanco Roto Elegante 21 cm,300746CLMFBA,146,4,0.08%,0.09%,230,4,0.09%,0.06%,91.11%,100.00%,4,0,2.74%,0.00%,"120,46 €","0,00 €",4,0
B0FNRHF97Q,B09X8QJL3R,ROCKING GIFTS Figura Decorativa Leopardo Madre e Hijo Dorado Poliresina 25 cm,301735CLMFBA,208,4,0.11%,0.09%,284,4,0.11%,0.06%,100.00%,100.00%,4,0,1.92%,0.00%,"159,80 €","0,00 €",4,0
B0DJ5YD8NS,B0BHF3JTRJ,"ROCKING GIFTS Estropajero Doble Pizarra Blanco con Estropajos | Organizador Fregadero Cocina | Soporte para Esponja, Bayeta y Cepillos",2684325CLM,486,4,0.25%,0.09%,669,5,0.25%,0.08%,99.35%,100.00%,4,0,0.82%,0.00%,"81,60 €","0,00 €",4,0
B0CMMZ91RV,B0BJL96FLX,"ROCKING GIFTS Figura Decorativa Busto Mujer Griego Romano, Escultura Clásica Antigua Resina Blanca Elegante, 50 cm",28794SGFBA,334,18,0.17%,0.39%,507,24,0.19%,0.38%,99.31%,100.00%,4,2,1.20%,11.11%,"397,94 €","187,94 €",4,2
B0BRYL18YJ,B0BRYL18YJ,ROCKING GIFTS Péndulo Metálico ISIS 16 Baterías Pequeño - Una opción Ideal para potenciar Tus Habilidades de energía y espiritualidad,4920VCFBA,116,3,0.06%,0.07%,162,3,0.06%,0.05%,100.00%,100.00%,6,0,5.17%,0.00%,"68,70 €","0,00 €",4,0
B0CLFH4D8V,B0CL3BQ8N5,"ROCKING GIFTS Péndulo Argo de Bronce - Péndulo adivinación, la curación y la meditación",12868VC,131,1,0.07%,0.02%,212,4,0.08%,0.06%,95.15%,100.00%,5,0,3.82%,0.00%,"50,51 €","0,00 €",4,0
B0CX9MJ5X3,B0CPJS6DLF,"ROCKING GIFTS Juego de baño con diseño de Hojas, Dispensador de Jabón y Vaso de Cerámica, Estilo Elegante y Minimalista",22212969CLM,"1,120",9,0.58%,0.20%,"1,475",13,0.55%,0.21%,99.85%,100.00%,4,0,0.36%,0.00%,"70,10 €","0,00 €",4,0
B0CTD3QMFP,B0CPKGC1S4,"Globo Terráqueo Vintage 12,5 cm diametro: Explora el Mundo desde tu Escritorio. Bola del Mundo con Base, Mapa Antiguo para Decoración y Aprendizaje. Regalo Educativo para Niños y Adultos",255013RGCLM,"1,125",40,0.59%,0.87%,"1,694",55,0.64%,0.88%,99.68%,97.44%,4,0,0.36%,0.00%,"117,64 €","0,00 €",4,0
B0CK91KWFP,B0CW6M5LDL,ROCKING GIFTS Adorno de Pared Lagarto Colores Mosaico 45 cm,31612SG,277,4,0.14%,0.09%,429,4,0.16%,0.06%,99.22%,100.00%,5,2,1.81%,50.00%,"124,01 €","49,01 €",4,1
B0DV3T6728,B0D47RS2TZ,ROCKING GIFTS Macetero Plano de Ceramica Flores Azul 16x16 cm,308839CLM,482,8,0.25%,0.17%,675,13,0.25%,0.21%,99.51%,100.00%,4,1,0.83%,12.50%,"101,63 €","25,33 €",4,1
B0D47SF9WM,B0D47SF9WM,"ROCKING GIFTS Set de 10 Cartas de Invitación para Comunión de Niña, Preparación Fiesta",3041186CLM,116,0,0.06%,0.00%,155,0,0.06%,0.00%,100.00%,0.00%,9,0,7.76%,0.00%,"139,50 €","0,00 €",4,0
B0D47SJXHZ,B0D47SJXHZ,"ROCKING GIFTS Iman Nevera de Madera Gris Baldosa Panot Suelo Barcelona, Magnético Frigorífico Decorativo, Decoracion Cocina, 4 cm",21821139CLM,101,9,0.05%,0.20%,124,13,0.05%,0.21%,98.26%,100.00%,27,24,26.73%,266.67%,"90,27 €","63,12 €",4,1
B0DV3WN6Y1,B0DLBQBF7B,ROCKING GIFTS Bandeja de Cocina de Metal 40x28 cm Flores,308637CLM,135,1,0.07%,0.02%,217,1,0.08%,0.02%,98.95%,100.00%,4,0,2.96%,0.00%,"55,05 €","0,00 €",4,0
B0DV3WN6Y1,B0DLBQQFTP,ROCKING GIFTS Bandeja de Cocina de Metal 40x28 cm Panot Barcelona,308642CLMFBA,193,2,0.10%,0.04%,271,5,0.10%,0.08%,100.00%,100.00%,6,0,3.11%,0.00%,"95,70 €","0,00 €",4,0
B0DLBR77W8,B0DLBR77W8,ROCKING GIFTS Vaciabolsillos de cemento Forma de MAno 18 cm,310306CLM,135,4,0.07%,0.09%,191,4,0.07%,0.06%,98.69%,100.00%,4,0,2.96%,0.00%,"64,35 €","0,00 €",4,0
B0F1NB3M93,B0F1NB3M93,ROCKING GIFTS Bolsa PANOT 48x36 cm Algodon Auténtico Resistente Viaje Trabajo,2827285CLM,53,1,0.03%,0.02%,79,1,0.03%,0.02%,100.00%,100.00%,8,0,15.09%,0.00%,"43,15 €","0,00 €",4,0
B0F1NFV56Z,B0F1NFV56Z,"ROCKING GIFTS Caja Limpiazapatos con Reposapiés: Limpieza Cómoda, Duradera, Madera 28x22 cm",2182105CLMFBA,62,0,0.03%,0.00%,89,0,0.03%,0.00%,97.40%,0.00%,4,0,6.45%,0.00%,"125,80 €","0,00 €",4,0
B0F1NG5L3T,B0F1NG5L3T,Caja Costurero Madera con Cajón Grande 26x23 cm Organización Costura Almacenamiento,2836613CLM,450,3,0.23%,0.07%,597,3,0.22%,0.05%,99.24%,0.00%,4,0,0.89%,0.00%,"187,60 €","0,00 €",4,0
B0GNZRP5NC,B0F1TB2BZ1,ROCKING GIFTS Hucha Cristal para Comunión Niño 17x9 cm Recuerdo Bautizo Regalo Infantil Decoración Hogar,2139525CLM,229,4,0.12%,0.09%,290,4,0.11%,0.06%,99.63%,100.00%,4,0,1.75%,0.00%,"52,60 €","0,00 €",4,0
B0DFVJNXW7,B0F1V11842,"Estuche de Tela Beige con Flores Rosas con Cremallera, Neceser Viaje para Maquillaje, Almacenaje Portalápices, 22 cm",284168CLMFBA,684,10,0.36%,0.22%,854,11,0.32%,0.18%,99.87%,100.00%,4,0,0.58%,0.00%,"55,80 €","0,00 €",4,0
B0FX2XKMWR,B0FX2XKMWR,ROCKING GIFTS Pisadientes Dental para Pipa Falcon STD Recto,30019MD,59,1,0.03%,0.02%,69,2,0.03%,0.03%,100.00%,100.00%,4,0,6.78%,0.00%,"183,20 €","0,00 €",4,0
B0G3QR4JJ3,B0FZCRS4BL, ,37668AZ-VESGRGFBA,116,4,0.06%,0.09%,191,4,0.07%,0.06%,100.00%,100.00%,4,0,3.45%,0.00%,"144,00 €","0,00 €",4,0
B0GFDQZL5J,B0GFDQZL5J,Taza Super Abuelo 350ml de Cerámica 8.30cm Regalo Original para Abuelos Día del Padre Cumpleaños Navidad Hombre Jubilación,2776819CLM,44,1,0.02%,0.02%,59,5,0.02%,0.08%,98.11%,100.00%,4,1,9.09%,100.00%,"57,50 €","14,50 €",4,1
B0GM11KFV3,B0GM11KFV3,ROCKING GIFTS Colgante Pirámide De Cuarzo Natural 2x1.5cm Terapia Reiki Meditación Chakra Péndulo,4359VCI,19,0,0.01%,0.00%,33,0,0.01%,0.00%,100.00%,0.00%,4,0,21.05%,0.00%,"40,98 €","0,00 €",4,0
B00K59VXNY,B00K59VXNY,Péndulo Metálico Vara Dorado,1016VCFBA,51,0,0.03%,0.00%,60,0,0.02%,0.00%,100.00%,0.00%,3,1,5.88%,0.00%,"29,77 €","9,79 €",3,1
B00K59X3XW,B00K59X3XW,Colgante Merkaba en Cuarzo Rosa,1293VCFBA,123,0,0.06%,0.00%,187,0,0.07%,0.00%,99.37%,0.00%,3,0,2.44%,0.00%,"32,85 €","0,00 €",3,0
B00KAIWVUY,B00KAIWVUY,"Vives Cortada Masajeador de Selenita Doble Minerales y Cristales para Curación, Belleza Energética, Meditación, Medicina Alternativa, Amuletos Espirituales",882VCFBA,42,2,0.02%,0.04%,51,2,0.02%,0.03%,83.33%,100.00%,4,0,9.52%,0.00%,"47,60 €","0,00 €",3,0
B00KAIZCNM,B00KAIZCNM,"Péndulo con Forma de Espiral, Color Dorado Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1014VC,26,0,0.01%,0.00%,36,0,0.01%,0.00%,100.00%,0.00%,3,0,11.54%,0.00%,"15,30 €","0,00 €",3,0
B00KAJ1OZ6,B00KAJ1OZ6,"Colgante De Turmalina Negra Sin Pulir En Bruto Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1304VC,"1,161",12,0.61%,0.26%,"1,585",19,0.60%,0.30%,99.86%,100.00%,3,0,0.26%,0.00%,"21,65 €","0,00 €",3,0
B00Y3H7GWG,B00Y3H7GWG,Veasion Adorno Pared Lagarto Metal 46 cm,43057SGFBA,155,3,0.08%,0.07%,231,3,0.09%,0.05%,100.00%,100.00%,3,0,1.94%,0.00%,"115,50 €","0,00 €",3,0
B010TMI2LC,B010TMI2LC,"Colgante de Agata (baño de Plata) Color Azul Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2930VC,229,4,0.12%,0.09%,306,5,0.12%,0.08%,98.51%,100.00%,3,0,1.31%,0.00%,"27,90 €","0,00 €",3,0
B010TMKZF8,B010TMKZF8,"Colgante Lagrima de Cuarzo Transparente Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2876VCFBA,148,1,0.08%,0.02%,203,1,0.08%,0.02%,100.00%,0.00%,3,0,2.03%,0.00%,"29,97 €","0,00 €",3,0
B0DJTGX33L,B01BD4Z2AO,"ROCKING GIFTS Adorno de Pared x2 Lagartos, Metal, 15 cm, decoración de Pared, jardín al Aire Libre, Figura de Lagartos, decoración de Metal, Colgante, para Patio o Valla, Terraza, Exterior",43017SGFBA,183,6,0.10%,0.13%,241,8,0.09%,0.13%,100.00%,100.00%,4,0,2.19%,0.00%,"83,80 €","0,00 €",3,0
B0DJTS3VHD,B076NC3T4W,"ROCKING GIFTS Pulsera Chip de Jaspe Rojo, Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1160VCFBA,116,0,0.06%,0.00%,159,0,0.06%,0.00%,100.00%,0.00%,3,0,2.59%,0.00%,"19,61 €","0,00 €",3,0
B0CLPK5MQP,B07T25S2L7,"ROCKING GIFTS Alfombra de Yute Ovalada, 100% Fibra de Yute Natural, Alfombra Suave, Tejida a Mano, Alfombra de Salón, Comedor, Dormitorio, Pasillos, Entrada, Color Natural (85x55 cm)",17722SGFBA,429,26,0.22%,0.56%,545,37,0.20%,0.59%,99.41%,95.65%,4,0,0.93%,0.00%,"171,80 €","0,00 €",3,0
B07TFBGPRT,B07TFBGPRT,Deco Line Salero Acrilico 10 cm,253256CLM,712,32,0.37%,0.70%,961,44,0.36%,0.70%,99.17%,100.00%,3,0,0.42%,0.00%,"43,50 €","0,00 €",3,0
B07TGF7ZVB,B07TGF7ZVB,"Mineral Import Llavero de Turmalina Negra Minerales y Cristales para curación, Belleza energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",5324VCFBA,48,1,0.03%,0.02%,58,1,0.02%,0.02%,100.00%,100.00%,4,0,8.33%,0.00%,"39,96 €","0,00 €",3,0
B0FPM1NS69,B07THDFDM8,ROCKING GIFTS Salvamantel Mimbre Redondo 20 cm | Mantel Individual | Resistente al Calor | Antideslizante | Decorativo | Protege tu Mesa,amzn.gr.284533CLM-5Q0KE2Rm70pLSrVTsS1-VG,"1,190",56,0.62%,1.22%,"1,626",71,0.61%,1.13%,99.87%,100.00%,3,0,0.25%,0.00%,"13,42 €","0,00 €",3,0
B07THFHV1F,B07THFHV1F,"Hogar Deco Dispensador Jabon Gel Cocina o Baño, Jabonera Bambu",2293466CLMFBA,58,1,0.03%,0.02%,90,1,0.03%,0.02%,100.00%,100.00%,3,0,5.17%,0.00%,"32,25 €","0,00 €",3,0
B08WPG9DLR,B08WPG9DLR,Vidal Regalos Vaciabolsillos Plato Madera Diseño Étnico Antiguo Flores Centro Mesa Recibidor 16 cm,24040SG,929,22,0.48%,0.48%,"1,293",28,0.49%,0.45%,100.00%,100.00%,3,0,0.32%,0.00%,"46,50 €","0,00 €",3,0
B08WPHL85H,B08WPHL85H,Vidal Regalos Figura Decorativa Mujer Africana Resina 20 cm,23721SG,169,1,0.09%,0.02%,330,2,0.12%,0.03%,99.55%,0.00%,3,0,1.78%,0.00%,"66,00 €","0,00 €",3,0
B09X1RKXC3,B09X1RKXC3,"Vaciabolsillos Cuadrado Mimbre 20x20 cm, Marron, Organizador, Bandeja Llaves, Recibidor, Almacenamiento",293534DC,101,5,0.05%,0.11%,141,8,0.05%,0.13%,100.00%,100.00%,3,1,2.97%,20.00%,"64,21 €","21,11 €",3,1
B09X8DHB6W,B09X8DHB6W,Set de 4 Espejo Pequeño Pared Decorativo Forma Gota Dorado Elegante 35 cm,278475CLM,134,2,0.07%,0.04%,185,2,0.07%,0.03%,98.73%,100.00%,3,0,2.24%,0.00%,"135,13 €","0,00 €",3,0
B0CJFJLBGS,B09X8GRD8N,ROCKING GIFTS Salvamantel Cerámica Madera Panot Barcelona Gris 20 cm,305441CLM,479,15,0.25%,0.33%,660,21,0.25%,0.33%,99.67%,100.00%,3,0,0.63%,0.00%,"58,65 €","0,00 €",3,0
B0FNRHF97Q,B09X8RC463,ROCKING GIFTS Figura Decorativa Leopardo Guepardo Dorado Poliresina 23 cm,301736CLMFBA,294,10,0.15%,0.22%,407,11,0.15%,0.18%,99.74%,100.00%,3,0,1.02%,0.00%,"119,85 €","0,00 €",3,0
B0BHF3MTWL,B0BHF3MTWL,"ROCKING GIFTS Sujetapuertas Peluche Perro Terrier Divertido, Sujetador Tope Puerta de Tela Decorativo Infantil, 20 cm",22212891CLMFBA,139,2,0.07%,0.04%,205,2,0.08%,0.03%,100.00%,0.00%,3,0,2.16%,0.00%,"80,38 €","0,00 €",3,0
B0BHF3P64Z,B0BHF3P64Z,"ROCKING GIFTS Bol de Cristal para Ensalada, Ensaladera de Vidrio Transparente, Cuenco Menaje de Cocina Diseño Elegante con Relieve Decorativo, Capacidad 1L, 19,5 cm Diámetro",30513180CLM,139,7,0.07%,0.15%,206,12,0.08%,0.19%,99.43%,100.00%,4,0,2.88%,0.00%,"38,20 €","0,00 €",3,0
B0DJTJ8PHT,B0BHF4WB33,ROCKING GIFTS Maceta Porta Plantas Cemento S Redonda Efecto Fibra Natural 14x11 cm,305724CLM,142,2,0.07%,0.04%,177,4,0.07%,0.06%,100.00%,100.00%,4,0,2.82%,0.00%,"51,00 €","0,00 €",3,0
B0FN4L23PQ,B0BRYKHH6Z,ROCKING GIFTS Colgante de Selenita Blanca Natural – Piedra Energética de 3 cm – Amuleto de Protección y Limpieza Energética,9745VCFBA,122,1,0.06%,0.02%,141,1,0.05%,0.02%,100.00%,100.00%,3,0,2.46%,0.00%,"38,85 €","0,00 €",3,0
B0BRYKVQ3F,B0BRYKVQ3F,ROCKING GIFTS Péndulo Semilla Rudraksha,2398VC0FBA,19,0,0.01%,0.00%,29,0,0.01%,0.00%,92.00%,0.00%,3,0,15.79%,0.00%,"33,94 €","0,00 €",3,0
B0CLFH4D8V,B0BRYLBZ7M,ROCKING GIFTS Péndulo Karnak Pequeño de Cobre,10638VC,217,3,0.11%,0.07%,347,8,0.13%,0.13%,99.36%,100.00%,3,0,1.38%,0.00%,"31,65 €","0,00 €",3,0
B0BVY854GP,B0BRYLVNS6,ROCKING GIFTS Huevo Yoni Grande de Obsidiana A,9540VCFBA,156,3,0.08%,0.07%,208,4,0.08%,0.06%,100.00%,100.00%,3,0,1.92%,0.00%,"59,85 €","0,00 €",3,0
B0BZ4P6CRT,B0BVMV4MTL,"ROCKING GIFTS Llavero de Ancla en Latón Dorado Vintage, con Caja Decorativa de Madera, Regalo Elegante Náutico, 6 cm",79157RGSG,44,1,0.02%,0.02%,62,2,0.02%,0.03%,100.00%,100.00%,3,0,6.82%,0.00%,"39,00 €","0,00 €",3,0
B0BW9RBKXY,B0BW9RBKXY,"Pipero madera para 3 pipas, color Teca",30937MDRG,23,1,0.01%,0.02%,32,1,0.01%,0.02%,100.00%,100.00%,3,0,13.04%,0.00%,"79,80 €","0,00 €",3,0
B0DJTS3VHD,B0BX4NBX9L,"ROCKING GIFTS Pulsera Chip de Jade - La Joya de la Salud y la Armonía - Potenciador de Energía, Calmante y Equilibrante para una Vida Plena y Saludable.",3502RGVCFBA,87,0,0.05%,0.00%,114,0,0.04%,0.00%,100.00%,0.00%,3,0,3.45%,0.00%,"23,97 €","0,00 €",3,0
B0DJTH67VT,B0BXLDV67V,"ROCKING GIFTS Colgante de Turmalina Negra en Bruto, Collar NO Incluído, Protección EMF Negatividad, Sanación Espiritualidad, Pieza Única, Mineral Natural",1304RGVCFBA,71,2,0.04%,0.04%,96,2,0.04%,0.03%,100.00%,100.00%,3,0,4.23%,0.00%,"32,97 €","0,00 €",3,0
B0CC3GJ5JK,B0CC3GJ5JK,"Adorno Decorativo Placa Metalica para Colgar Pared Flores Lavanda Fondo Blanco, Cuadro Mural Rústico, 33 cm",30293SGRGFBA,91,2,0.05%,0.04%,108,3,0.04%,0.05%,100.00%,100.00%,3,0,3.30%,0.00%,"47,85 €","0,00 €",3,0
B0CLF7YDF9,B0CL3BN742,"ROCKING GIFTS Corazón de Cuarzo Verde Natural, Piedra curativa, Cristal de energía, Regalo para el día de San Valentín, Reiki, Yoga",12320VC,27,0,0.01%,0.00%,34,0,0.01%,0.00%,100.00%,0.00%,3,0,11.11%,0.00%,"32,85 €","0,00 €",3,0
B0CLFH4D8V,B0CL3C9GC5,"ROCKING GIFTS Péndulo Osiris Iris de Bronce, péndulo de sanación, péndulo de adivinación, péndulo de Reiki, péndulo de meditación",11302VCFBA,80,0,0.04%,0.00%,108,0,0.04%,0.00%,95.65%,0.00%,3,0,3.75%,0.00%,"53,85 €","0,00 €",3,0
B0CNT99D3V,B0CNS7HMNS,ROCKING GIFTS Cubo de Palomitas de 5L para Hacer deliciosas y crujientes Palomitas de maíz en casa Disfrutar de Tus películas y Series favoritas.,247732CLM,109,1,0.06%,0.02%,154,1,0.06%,0.02%,99.25%,0.00%,3,0,2.75%,0.00%,"39,75 €","0,00 €",3,0
B0CPJRX2NR,B0CPJRX2NR,"ROCKING GIFTS Marco de Fotos, Portafotos 10x15 - Marco de fotos para imágenes de tamaño 10x15 cm - Decoración de mesa - Marco de madera floral marrón y blanco",21821113CLM,43,1,0.02%,0.02%,64,1,0.02%,0.02%,100.00%,0.00%,3,0,6.98%,0.00%,"55,85 €","0,00 €",3,0
B0CTD3QMFP,B0CPK8M38Q,"ROCKING GIFTS Globo Terraqueo, Bola del Mundo 20cm con Pie de Metal Dorado - Decoración y Regalo",255015RGCLM,420,17,0.22%,0.37%,550,24,0.21%,0.38%,98.80%,100.00%,3,2,0.71%,11.76%,"120,61 €","77,76 €",3,2
