sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
1018VC	B00K59UV1Y	18.00	238	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
10190VCT	B0CV4HQBZV	16.99	275	16.65	fixed	6	14.45	12	12.75	18	12.41	50	11.90											
10192VCT	B0CV4G8VG2	14.05	1059	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10193VCFBA	B0BRYJZ72L	11.90		11.66	fixed	6	10.12	12	8.93	18	8.69	50	8.33											
10195VC	B0BRYK4FNJ	15.95	103	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
10197VCT	B0CV4GG6L1	14.05	680	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10198VCT	B0CV4G49D7	14.05	155	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10199VC	B0BRYHJD2F	14.75	242	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10201VC	B0BRYK5HPQ	45.50	738493	44.59	fixed	6	38.68	12	34.13	18	33.22	50	31.85											
10209VC	B0BRYM9VKG	15.50	38	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
10212VC	B0BRYLSBDB	15.50	14	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											false
10228RGVC	B0CLZX35VX	16.80	392	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10228VC	B0BRYM7PNQ	16.80	392	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											false
10231VCT	B0CV4D1CGN	14.75	241	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10236VC	B0BRYKQ34M	16.80	137	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											false
10237VCT	B0CV4GKHVV	16.80	107	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10240VCT	B0CV4F2KC3	16.80	241	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10242VC	B0BRYLPSZS	16.80	210	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10243VC	B0BRYKKNSP	16.80	43	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10245VC	B0BRYK6JS2	16.80	161	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10246VC	B0BRYJFWPY	16.80	134	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10247VC	B0BRYKL2HY	16.80	206	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
10257VC	B0BRYLZMKP	43.00	717	42.14	fixed	6	36.55	12	32.25	18	31.39	50	30.10											
10265VC	B0BRYLSBDC	23.00	45	22.54	fixed	6	19.55	12	17.25	18	16.79	50	16.10											
10269VCI	B0DFZX9YKJ	125.50	26625	122.99	fixed	6	106.68	12	94.13	18	91.62	50	87.85											
10272VC	B0BRYK2FGP	15.95	378	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
10276VC	B0BRYLGB8C	101.80	95	99.76	fixed	6	86.53	12	76.35	18	74.32	50	71.26											
10278VC	B0BRYKJNN6	79.90	17970	78.3	fixed	6	67.92	12	59.93	18	58.33	50	55.93											
10279VC	B0BRYKM1DV	101.80	1235	99.76	fixed	6	86.53	12	76.35	18	74.32	50	71.26											
10280VC	B0BRYJR693	16.95	3334	16.61	fixed	6	14.41	12	12.72	18	12.38	50	11.87											
10281VC	B0BRYLGX45	17.75	399	17.4	fixed	6	15.09	12	13.32	18	12.96	50	12.43											
10323VC	B0BRYLBN2H	35.95	62751	35.23	fixed	6	30.56	12	26.97	18	26.25	50	25.17											
10324VCT	B0CV4D4827	20.50	179839	20.09	fixed	6	17.43	12	15.38	18	14.97	50	14.35											
10325VCT	B0CV4DKT4Z	21.80	92275	21.36	fixed	6	18.53	12	16.35	18	15.92	50	15.26											
10326VC	B0BRYK5ZD8	47.10	135890	46.16	fixed	6	40.04	12	35.33	18	34.39	50	32.97											
10338VC	B0BRYHLTTT	15.50	303975	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
10338VCFBA	B0BRYHLTTT	13.95		13.67	fixed	6	11.86	12	10.47	18	10.19	50	9.77											
10341VC	B0BRYJW5KR	13.60	31	13.33	fixed	6	11.56	12	10.20	18	9.93	50	9.52											false
10343VCT	B0CV4FW16Q	113.00	71689	110.74	fixed	6	96.05	12	84.75	18	82.49	50	79.10											
10344VCI	B0GM158SZF	165.70	15	162.39	fixed	6	140.85	12	124.28	18	120.97	50	115.99											
10345VC	B0BRYKGZG9	45.50	27	44.59	fixed	6	38.68	12	34.13	18	33.22	50	31.85											
10355VC	B0BRYLTY1B	119.30	23	116.91	fixed	6	101.41	12	89.48	18	87.09	50	83.51											
10356VC	B0BRYK8VH5	138.50	37	135.73	fixed	6	117.73	12	103.88	18	101.11	50	96.95											
10482VC	B0BRYJGKZX	27.99	78	27.43	fixed	6	23.80	12	21.00	18	20.44	50	19.60											
10484VC	B0BRYKVQ3L	53.00	76	51.94	fixed	6	45.05	12	39.75	18	38.69	50	37.10											
